source,target,ligand,receptor,ligand_expression,receptor_expression,communication_score,attn_score,p_value,pathway_name,annotation,evidence
Microglia/Macrophages,OPC-like-tumor,CCL8,ACKR4,0.0,0.003330542938783765,0.7447300553321838,0.04913861124189037,0.0,CCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CCL2,ACKR1,0.0011288600508123636,0.08689484745264053,0.7447300553321838,0.04913861124189037,0.0,CCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CCL5,ACKR1,0.012486291117966175,0.08689484745264053,0.7447300553321838,0.04913861124189037,0.0,CCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CCL8,ACKR1,0.0,0.08689484745264053,0.7447300553321838,0.04913861124189037,0.0,CCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CCL13,ACKR1,0.7155171632766724,0.08689484745264053,0.7447300553321838,0.04913861124189037,0.0,CCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CCL14,ACKR1,0.2903991639614105,0.08689484745264053,0.7447300553321838,0.04913861124189037,0.0,CCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CCL16,ACKR1,0.0,0.08689484745264053,0.7447300553321838,0.04913861124189037,0.0,CCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CCL18,ACKR1,0.004765545949339867,0.08689484745264053,0.7447300553321838,0.04913861124189037,0.0,CCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CXCL1,ACKR1,0.0,0.08689484745264053,0.7447300553321838,0.04913861124189037,0.0,CXCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CXCL2,ACKR1,0.06352580338716507,0.08689484745264053,0.7447300553321838,0.04913861124189037,0.0,CXCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CXCL3,ACKR1,0.038204438984394073,0.08689484745264053,0.7447300553321838,0.04913861124189037,0.0,CXCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CXCL5,ACKR1,0.14248068630695343,0.08689484745264053,0.7447300553321838,0.04913861124189037,0.0,CXCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CXCL6,ACKR1,0.007783744018524885,0.08689484745264053,0.7447300553321838,0.04913861124189037,0.0,CXCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CXCL8,ACKR1,0.11533038318157196,0.08689484745264053,0.7447300553321838,0.04913861124189037,0.0,CXCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CXCL9,ACKR1,0.06371035426855087,0.08689484745264053,0.7447300553321838,0.04913861124189037,0.0,CXCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CXCL10,ACKR1,0.17333848774433136,0.08689484745264053,0.7447300553321838,0.04913861124189037,0.0,CXCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CXCL11,ACKR1,0.0,0.08689484745264053,0.7447300553321838,0.04913861124189037,0.0,CXCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CXCL13,ACKR1,0.04852144792675972,0.08689484745264053,0.7447300553321838,0.04913861124189037,0.0,CXCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CCL2,ACKR2,0.0011288600508123636,0.002620699582621455,0.7447300553321838,0.04913861124189037,0.0,CCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CCL3,ACKR2,0.0031292387284338474,0.002620699582621455,0.7447300553321838,0.04913861124189037,0.0,CCL,Secreted Signaling,PMID: 26740381
Microglia/Macrophages,OPC-like-tumor,CCL3L1,ACKR2,0.0,0.002620699582621455,0.7447300553321838,0.04913861124189037,0.0,CCL,Secreted Signaling,PMID: 26740381
